ID,Duration..in.seconds.,Finished,Instruction_1,Instruction_2,Instruction_3,Instruction_4,Sender_Response,Responder_3,Responder_6,Responder_9,Responder_12,Responder_15,Responder_18,Responder_21,Responder_24,Responder_27,Responder_30,Comp_Sender_3,Comp_Responder_2,Attractiveness,Trustworthy,COVID_19_vaccine,COVID_19_vaccine_attitude,Mask_attitude,mask_prevents_Covid.19,Protect_themselves_or_others,understanding_difficulty,Picture_label,Order,time_taken,age,Ethnicity,Highest.education.level.completed,Nationality,Sex,Pic.Mask,Pic.Gender
144,206,TRUE,TRUE,FALSE,FALSE,TRUE,2,1,3,5,6,8,9,10,12,13,15,£9,£2,56,53,Yes,,8,8,Equally themselves and other,No,M4U,SenderFirst,217.371,33,White/Caucasian,High school diploma/A-levels,United Kingdom,Female,U,M
249,217,TRUE,TRUE,FALSE,FALSE,TRUE,1,1,2,3,4,5,6,7,8,9,10,£3,£2,18,6,Yes,,5,10,Mostly others,No,F2U,ResponderFirst,220.121,33,White/Caucasian,Graduate degree (MA/MSc/MPhil/other),Germany,Female,U,F
183,305,TRUE,TRUE,FALSE,FALSE,TRUE,10,1,2,3,4,5,6,7,8,9,10,£9,£2,27,61,Yes,,6,7,Mostly others,No,F2M,SenderFirst,312.727,37,White/Caucasian,Technical/community college,South Africa,Female,M,F
363,333,TRUE,TRUE,FALSE,FALSE,TRUE,5,2,3,5,6,8,9,11,12,14,15,£9,£2,41,47,No,Strongly disagree,1,1,Only themselves,No,M1U,ResponderFirst,337.653,52,White/Caucasian,Undergraduate degree (BA/BSc/other),United Kingdom,Female,U,M
359,365,TRUE,TRUE,FALSE,FALSE,TRUE,5,1,2,4,6,6,8,9,12,13,15,£9,£2,49,51,Yes,,4,6,Equally themselves and other,No,F4U,ResponderFirst,369.463,49,White/Caucasian,Undergraduate degree (BA/BSc/other),United Kingdom,Female,U,F
393,473,TRUE,TRUE,FALSE,FALSE,TRUE,4,0,1,1,3,5,7,9,11,13,16,£9,£2,58,28,No,Strongly agree,7,8,Equally themselves and other,No,M2U,SenderFirst,478.283,24,White/Caucasian,Undergraduate degree (BA/BSc/other),United Kingdom,Female,U,M
387,714,TRUE,TRUE,FALSE,FALSE,TRUE,1,3,3,4,6,7,9,10,12,13,15,£9,£2,31,66,Yes,,6,7,Mostly others,No,F2M,SenderFirst,723.241,60,White/Caucasian,Undergraduate degree (BA/BSc/other),United Kingdom,Female,M,F
27,489,TRUE,TRUE,FALSE,FALSE,TRUE,0,2,4,6,8,10,12,14,16,18,20,£9,£2,72,47,No,Strongly disagree,0,0,Only themselves,No,M4M,SenderFirst,500.294,56,White/Caucasian,High school diploma/A-levels,United Kingdom,Female,M,M
20,471,TRUE,TRUE,FALSE,FALSE,TRUE,2,1,2,3,4,5,6,7,8,9,10,£9,£2,26,13,Yes,,3,5,Equally themselves and other,No,F1U,SenderFirst,475.232,30,White/Caucasian,Graduate degree (MA/MSc/MPhil/other),United Kingdom,Female,U,F
341,805,TRUE,TRUE,FALSE,FALSE,TRUE,0,1,3,4,5,7,8,9,10,12,13,£9,£2,0,42,No,Strongly disagree,1,7,Equally themselves and other,Yes,M1U,SenderFirst,811.433,58,Mixed,Technical/community college,United Kingdom,Female,U,M
266,423,TRUE,TRUE,FALSE,FALSE,TRUE,1,1,3,4,5,7,8,10,11,12,15,£9,£2,65,75,Yes,,5,7,Equally themselves and other,No,F1M,ResponderFirst,428.767,49,White/Caucasian,Secondary education (e.g. GED/GCSE),United Kingdom,Female,M,F
364,287,TRUE,TRUE,FALSE,FALSE,TRUE,5,1,3,4,5,6,7,9,10,12,13,£9,£2,72,66,Yes,,5,7,Equally themselves and other,No,F1M,ResponderFirst,292.947,36,White/Caucasian,Graduate degree (MA/MSc/MPhil/other),United Kingdom,Female,M,F
138,349,TRUE,TRUE,FALSE,FALSE,TRUE,5,1,2,3,4,5,6,7,8,9,10,£3,£2,48,80,No,Neither agree nor disagree,9,9,Equally themselves and other,No,M2M,SenderFirst,355.799,26,White/Caucasian,Technical/community college,United Kingdom,Female,M,M
366,594,TRUE,TRUE,FALSE,FALSE,TRUE,6,2,3,5,8,10,11,11,12,13,15,£9,£2,8,49,Yes,,3,10,Equally themselves and other,Yes,F4M,ResponderFirst,599.869,64,White/Caucasian,Graduate degree (MA/MSc/MPhil/other),Netherlands,Female,M,F
226,495,TRUE,TRUE,FALSE,FALSE,TRUE,4,2,4,6,8,10,12,10,12,15,15,£9,£2,48,51,Yes,,5,8,Equally themselves and other,No,M1U,SenderFirst,499.465,38,White/Caucasian,Undergraduate degree (BA/BSc/other),Romania,Female,U,M
39,284,TRUE,TRUE,FALSE,FALSE,TRUE,5,2,3,5,6,7,9,11,12,14,15,£9,£2,63,79,Yes,,8,9,Equally themselves and other,No,F1M,ResponderFirst,289.848,30,White/Caucasian,Graduate degree (MA/MSc/MPhil/other),United Kingdom,Female,M,F
173,1335,TRUE,TRUE,FALSE,FALSE,TRUE,1,1,2,4,6,7,9,10,12,13,15,£9,£2,0,0,Yes,,5,6,Equally themselves and other,No,M3U,ResponderFirst,1341.166,40,White/Caucasian,Secondary education (e.g. GED/GCSE),United Kingdom,Female,U,M
398,389,TRUE,TRUE,FALSE,FALSE,TRUE,3,3,2,3,4,5,6,7,8,9,10,£9,£2,49,51,Yes,,1,9,Mostly themselves,No,F2U,ResponderFirst,2307.34,50,White/Caucasian,Undergraduate degree (BA/BSc/other),New Zealand,Female,U,F
118,382,TRUE,TRUE,FALSE,FALSE,TRUE,5,1,3,4,6,7,9,11,12,11,15,£9,£2,45,46,Yes,,5,6,Mostly themselves,No,F2M,ResponderFirst,386.608,52,White/Caucasian,High school diploma/A-levels,United Kingdom,Female,M,F
107,374,TRUE,TRUE,FALSE,FALSE,TRUE,2,2,3,4,7,8,10,15,16,13,15,£9,£2,46,48,No,Strongly agree,7,7,Equally themselves and other,No,M4M,ResponderFirst,378.439,28,White/Caucasian,Undergraduate degree (BA/BSc/other),United Kingdom,Female,M,M
201,300,TRUE,TRUE,FALSE,FALSE,TRUE,3,2,3,3,4,5,7,8,12,10,10,£9,£12,49,45,Yes,,10,10,Equally themselves and other,No,F4M,SenderFirst,304.446,47,Latino/Hispanic,Graduate degree (MA/MSc/MPhil/other),Chile,Female,M,F
116,314,TRUE,TRUE,FALSE,FALSE,TRUE,5,2,3,4,6,7,9,10,12,13,15,£9,£2,62,25,Yes,,8,8,Equally themselves and other,No,M2U,ResponderFirst,319.149,23,White/Caucasian,High school diploma/A-levels,United Kingdom,Female,U,M
219,230,TRUE,TRUE,FALSE,FALSE,TRUE,3,0,0,1,2,2,2,2,4,2,5,£9,£2,33,49,No,Neither agree nor disagree,6,5,Mostly themselves,No,M3U,SenderFirst,234.225,34,White/Caucasian,Secondary education (e.g. GED/GCSE),United Kingdom,Female,U,M
5,284,TRUE,TRUE,FALSE,FALSE,TRUE,7,1,3,4,6,7,9,10,12,13,15,£9,£2,67,52,Yes,,5,8,Equally themselves and other,No,F1M,ResponderFirst,286.702,31,White/Caucasian,Undergraduate degree (BA/BSc/other),United Kingdom,Female,M,F
195,366,TRUE,TRUE,FALSE,FALSE,TRUE,1,0,0,1,2,5,6,7,9,12,15,£9,£2,50,51,Yes,,8,9,Equally themselves and other,No,F4M,SenderFirst,371.303,43,White/Caucasian,Undergraduate degree (BA/BSc/other),United Kingdom,Female,M,F
128,909,TRUE,TRUE,FALSE,FALSE,TRUE,10,1,3,4,6,7,9,10,12,13,15,£9,£2,47,84,No,Strongly agree,3,5,Mostly themselves,Yes,F1M,SenderFirst,913.025,25,White/Caucasian,Undergraduate degree (BA/BSc/other),United Kingdom,Female,M,F
358,335,TRUE,TRUE,FALSE,FALSE,TRUE,5,1,3,5,8,9,12,14,16,18,17,£9,£2,50,49,Yes,,8,8,Equally themselves and other,No,F1M,SenderFirst,339.884,27,White/Caucasian,Graduate degree (MA/MSc/MPhil/other),Portugal,Female,M,F
71,235,TRUE,TRUE,FALSE,FALSE,TRUE,5,2,3,5,6,8,9,10,12,14,15,£3,£2,23,37,No,Neither agree nor disagree,5,6,Equally themselves and other,No,F1U,SenderFirst,237.608,25,South Asian,Graduate degree (MA/MSc/MPhil/other),United Kingdom,Female,U,F
42,359,TRUE,TRUE,FALSE,FALSE,TRUE,10,2,3,5,7,9,10,13,16,18,20,£9,£2,38,50,No,Strongly agree,6,7,Mostly themselves,No,F3U,SenderFirst,364.484,23,White/Caucasian,Graduate degree (MA/MSc/MPhil/other),United Kingdom,Female,U,F
69,342,TRUE,TRUE,FALSE,FALSE,TRUE,1,1,2,3,4,5,6,7,8,9,10,£9,£2,22,50,No,Strongly disagree,3,5,Mostly themselves,No,F2M,SenderFirst,347.947,38,White/Caucasian,High school diploma/A-levels,United Kingdom,Female,M,F
149,408,TRUE,TRUE,FALSE,FALSE,TRUE,1,1,3,5,6,7,9,11,12,14,15,£9,£2,95,94,Yes,,2,2,Equally themselves and other,No,F1M,SenderFirst,604.164,28,White/Caucasian,Technical/community college,United Kingdom,Female,M,F
225,372,TRUE,TRUE,FALSE,FALSE,TRUE,2,0,2,3,4,5,6,7,8,9,12,£9,£2,62,38,Yes,,6,5,Equally themselves and other,No,F1M,SenderFirst,375.779,46,White/Caucasian,Undergraduate degree (BA/BSc/other),United Kingdom,Female,M,F
214,390,TRUE,TRUE,FALSE,FALSE,TRUE,10,1,3,5,6,7,9,9,12,14,15,£9,£2,24,53,No,Strongly agree,3,8,Mostly others,No,M4U,SenderFirst,393.122,37,White/Caucasian,Graduate degree (MA/MSc/MPhil/other),United Kingdom,Female,U,M
163,624,TRUE,TRUE,FALSE,FALSE,TRUE,6,0,0,1,3,5,7,9,11,13,15,£9,£2,40,52,No,Strongly agree,5,7,Equally themselves and other,No,M3U,SenderFirst,628.536,25,White/Caucasian,Undergraduate degree (BA/BSc/other),United Kingdom,Female,U,M
151,483,TRUE,TRUE,FALSE,FALSE,TRUE,3,1,2,4,5,7,7,10,8,12,12,£9,£2,43,67,Yes,,10,10,Equally themselves and other,No,F4U,ResponderFirst,487.938,48,White/Caucasian,Technical/community college,United Kingdom,Female,U,F
302,539,TRUE,TRUE,FALSE,FALSE,TRUE,4,1,2,4,5,8,8,13,14,16,18,£9,£2,30,49,Yes,,3,6,Equally themselves and other,No,M2U,ResponderFirst,543.188,58,White/Caucasian,Technical/community college,United Kingdom,Female,U,M
24,334,TRUE,TRUE,FALSE,FALSE,TRUE,5,1,4,3,8,7,10,10,14,17,15,£9,£2,11,52,No,Strongly agree,4,4,Equally themselves and other,No,M1M,ResponderFirst,337.557,28,White/Caucasian,Graduate degree (MA/MSc/MPhil/other),United Kingdom,Female,M,M
318,805,TRUE,TRUE,FALSE,FALSE,TRUE,3,0,1,2,3,5,7,11,12,13,13,£9,£2,54,56,Yes,,9,9,Mostly themselves,No,F4U,SenderFirst,813.842,54,Mixed,Undergraduate degree (BA/BSc/other),United Kingdom,Female,U,F
84,227,TRUE,TRUE,FALSE,FALSE,TRUE,3,2,3,5,6,7,9,11,12,13,15,£9,£2,47,72,No,Strongly agree,5,6,Equally themselves and other,No,F1U,ResponderFirst,232.725,18,White/Caucasian,High school diploma/A-levels,United Kingdom,Female,U,F
112,331,TRUE,TRUE,FALSE,FALSE,TRUE,4,1,2,3,4,5,5,10,11,10,15,£9,£2,22,39,Yes,,5,8,Equally themselves and other,No,M2M,SenderFirst,335.917,32,White/Caucasian,Undergraduate degree (BA/BSc/other),United Kingdom,Female,M,M
227,611,TRUE,TRUE,FALSE,FALSE,TRUE,5,0,1,2,3,5,7,9,11,13,15,£9,£2,48,51,Yes,,2,3,Equally themselves and other,No,F3M,ResponderFirst,615.643,50,White/Caucasian,Undergraduate degree (BA/BSc/other),United Kingdom,Female,M,F
135,589,TRUE,TRUE,FALSE,FALSE,TRUE,3,1,2,3,5,6,7,8,9,11,10,£9,£2,50,46,No,Strongly disagree,3,7,Equally themselves and other,Yes,M4M,ResponderFirst,593.213,58,White/Caucasian,Undergraduate degree (BA/BSc/other),United Kingdom,Female,M,M
41,355,TRUE,TRUE,FALSE,FALSE,TRUE,1,1,2,4,5,5,5,5,8,10,10,£9,£2,6,5,Yes,,8,7,Equally themselves and other,No,F4M,SenderFirst,359.232,26,Mixed,Graduate degree (MA/MSc/MPhil/other),United Kingdom,Female,M,F
81,512,TRUE,TRUE,FALSE,FALSE,TRUE,10,0,0,0,0,0,0,10,3,0,3,£9,£2,31,15,Yes,,2,2,Equally themselves and other,No,F1M,ResponderFirst,515.951,50,White/Caucasian,High school diploma/A-levels,United Kingdom,Female,M,F
222,547,TRUE,TRUE,FALSE,FALSE,TRUE,2,1,3,2,4,5,7,9,11,13,15,£9,£2,66,49,Yes,,4,8,Mostly themselves,No,M2M,ResponderFirst,552.978,46,White/Caucasian,Undergraduate degree (BA/BSc/other),United Kingdom,Female,M,M
46,238,TRUE,TRUE,FALSE,FALSE,TRUE,10,1,6,9,12,15,9,7,8,12,0,£9,£6,49,41,Yes,,7,7,Mostly others,No,F2M,SenderFirst,241.339,49,White/Caucasian,Undergraduate degree (BA/BSc/other),United Kingdom,Female,M,F
102,919,TRUE,TRUE,FALSE,FALSE,TRUE,5,1,2,3,2,4,5,8,8,9,10,£9,£6,31,36,Yes,,6,9,Equally themselves and other,No,F3M,SenderFirst,934.478,23,White/Caucasian,High school diploma/A-levels,United Kingdom,Female,M,F
129,259,TRUE,TRUE,FALSE,FALSE,TRUE,0,1,0,0,0,0,0,0,2,1,0,£9,£2,38,26,Yes,,6,7,Equally themselves and other,No,M4U,ResponderFirst,263.987,23,East Asian,Graduate degree (MA/MSc/MPhil/other),Malaysia,Female,U,M
32,445,TRUE,TRUE,FALSE,FALSE,TRUE,5,0,0,0,0,0,0,0,0,0,0,£9,£2,42,49,No,Strongly disagree,0,0,Equally themselves and other,No,M4M,ResponderFirst,448.66,37,White/Caucasian,Undergraduate degree (BA/BSc/other),United Kingdom,Female,M,M
343,298,TRUE,TRUE,FALSE,FALSE,TRUE,1,0,0,0,0,0,0,0,0,0,0,£9,£2,24,12,No,Strongly disagree,5,7,Equally themselves and other,No,M4U,ResponderFirst,302.95,37,White/Caucasian,Undergraduate degree (BA/BSc/other),United Kingdom,Female,U,M
350,295,TRUE,TRUE,FALSE,FALSE,TRUE,2,2,4,4,6,9,10,11,14,11,15,£9,£2,14,38,No,Strongly agree,7,7,Mostly themselves,No,M3M,ResponderFirst,299.484,23,White/Caucasian,Secondary education (e.g. GED/GCSE),United Kingdom,Female,M,M
4,325,TRUE,TRUE,FALSE,FALSE,TRUE,3,0,0,1,3,5,7,9,11,13,15,£9,£2,49,50,Yes,,9,9,Equally themselves and other,No,F1U,ResponderFirst,328.297,31,White/Caucasian,Doctorate degree (PhD/other),France,Female,U,F
162,318,TRUE,TRUE,FALSE,FALSE,TRUE,7,2,4,5,6,10,12,14,18,24,30,£9,£2,51,52,Yes,,6,8,Equally themselves and other,No,M1M,ResponderFirst,321.73,25,White/Caucasian,High school diploma/A-levels,United Kingdom,Female,M,M
165,408,TRUE,TRUE,FALSE,FALSE,TRUE,4,1,2,3,4,5,6,7,8,9,10,£9,£2,29,44,Yes,,0,7,Equally themselves and other,No,M3M,SenderFirst,412.54,24,White/Caucasian,Undergraduate degree (BA/BSc/other),United Kingdom,Female,M,M
274,338,TRUE,TRUE,FALSE,FALSE,TRUE,1,1,2,3,4,5,6,7,8,9,10,£3,£2,48,49,Yes,,5,7,Mostly themselves,No,F3U,ResponderFirst,344.007,47,White/Caucasian,Graduate degree (MA/MSc/MPhil/other),Hungary,Female,U,F
133,432,TRUE,TRUE,FALSE,FALSE,TRUE,3,2,3,4,6,8,6,12,13,14,14,£9,£6,21,19,Yes,,6,8,Mostly themselves,Yes,F4U,SenderFirst,436.379,29,White/Caucasian,Graduate degree (MA/MSc/MPhil/other),United Kingdom,Female,U,F
291,596,TRUE,TRUE,FALSE,FALSE,TRUE,5,1,3,4,5,7,8,10,11,12,13,£9,£2,70,32,Yes,,6,8,Equally themselves and other,No,F2M,SenderFirst,604.1,35,White/Caucasian,High school diploma/A-levels,United Kingdom,Female,M,F
206,1163,TRUE,TRUE,FALSE,FALSE,TRUE,4,1,3,4,6,7,9,10,12,13,15,£9,£2,51,58,Yes,,3,7,Equally themselves and other,No,F3M,ResponderFirst,1168.741,49,White/Caucasian,Secondary education (e.g. GED/GCSE),United Kingdom,Female,M,F
106,365,TRUE,TRUE,FALSE,FALSE,TRUE,3,0,3,6,6,8,9,10,14,14,13,£9,£2,1,2,Yes,,4,3,Equally themselves and other,No,M1M,SenderFirst,370.754,29,White/Caucasian,Undergraduate degree (BA/BSc/other),United Kingdom,Female,M,M
119,419,TRUE,TRUE,FALSE,FALSE,TRUE,2,1,2,3,4,5,6,7,8,9,10,£9,£2,15,48,No,Somewhat agree,6,8,Mostly themselves,No,M1U,SenderFirst,424.209,32,White/Caucasian,Technical/community college,United Kingdom,Female,U,M
234,461,TRUE,TRUE,FALSE,FALSE,TRUE,2,1,2,3,4,5,6,7,8,9,10,£9,£2,20,77,Yes,,8,8,Mostly others,No,M4M,ResponderFirst,466.621,53,White/Caucasian,Technical/community college,United Kingdom,Female,M,M
370,467,TRUE,TRUE,FALSE,FALSE,TRUE,5,1,2,3,4,5,6,7,8,9,10,£9,£6,48,50,No,,5,5,Equally themselves and other,No,M1M,SenderFirst,472.081,49,White/Caucasian,Don't know / not applicable,United Kingdom,Female,M,M
89,218,TRUE,TRUE,FALSE,FALSE,TRUE,4,1,2,4,6,7,8,8,11,13,13,£9,£6,11,59,Yes,,7,5,Mostly others,No,M4M,ResponderFirst,221.269,20,White/Caucasian,Undergraduate degree (BA/BSc/other),United Kingdom,Female,M,M
178,395,TRUE,TRUE,FALSE,FALSE,TRUE,5,1,3,4,6,7,9,10,12,13,15,£9,£2,31,59,Yes,,6,7,Equally themselves and other,No,M4U,ResponderFirst,398.565,40,White/Caucasian,Graduate degree (MA/MSc/MPhil/other),United Kingdom,Female,U,M
269,436,TRUE,TRUE,FALSE,FALSE,TRUE,3,1,3,4,5,7,8,10,12,13,15,£9,£2,45,43,No,Neither agree nor disagree,6,7,Equally themselves and other,No,M3M,SenderFirst,439.522,28,Other (please feel free to let us know your ethnicity via email),Technical/community college,Poland,Female,M,M
322,287,TRUE,TRUE,FALSE,FALSE,TRUE,2,1,3,4,6,7,9,10,11,13,14,£9,£2,50,50,Yes,,5,7,Equally themselves and other,No,M3M,ResponderFirst,295.328,60,White/Caucasian,High school diploma/A-levels,United Kingdom,Female,M,M
264,599,TRUE,TRUE,FALSE,FALSE,TRUE,5,1,2,3,4,5,7,8,10,11,12,£9,£2,48,36,Yes,,7,7,Mostly others,No,F4U,ResponderFirst,603.813,38,White/Caucasian,Graduate degree (MA/MSc/MPhil/other),United Kingdom,Female,U,F
228,233,TRUE,TRUE,FALSE,FALSE,TRUE,5,0,0,0,0,0,1,0,0,0,1,£9,£2,22,0,Yes,,1,3,Equally themselves and other,No,M4U,ResponderFirst,239.533,36,White/Caucasian,Technical/community college,United Kingdom,Female,U,M
383,791,TRUE,TRUE,FALSE,FALSE,TRUE,1,0,0,0,0,0,0,1,2,3,0,£9,£2,42,25,Yes,,6,8,Mostly others,No,F1U,SenderFirst,796.81,21,White/Caucasian,Undergraduate degree (BA/BSc/other),United Kingdom,Female,U,F
47,357,TRUE,TRUE,FALSE,FALSE,TRUE,5,1,2,3,4,5,6,7,8,9,10,£9,£2,20,43,No,Strongly agree,5,8,Mostly others,No,M2M,ResponderFirst,360.789,19,White/Caucasian,High school diploma/A-levels,United Kingdom,Female,M,M
101,521,TRUE,TRUE,FALSE,FALSE,TRUE,0,0,0,0,0,0,0,0,0,0,1,£9,£2,51,51,Yes,,8,7,Equally themselves and other,No,F3U,ResponderFirst,524.663,24,White/Caucasian,Undergraduate degree (BA/BSc/other),United Kingdom,Female,U,F
300,259,TRUE,TRUE,FALSE,FALSE,TRUE,2,1,3,4,6,7,9,10,12,13,15,£9,£2,38,38,Yes,,8,7,Equally themselves and other,No,F3M,SenderFirst,262.409,49,White/Caucasian,Secondary education (e.g. GED/GCSE),United Kingdom,Female,M,F
142,631,TRUE,TRUE,FALSE,FALSE,TRUE,5,1,4,4,6,6,8,12,12,14,15,£3,£6,31,47,No,Neither agree nor disagree,7,9,Equally themselves and other,No,M1M,ResponderFirst,636.049,47,White/Caucasian,Undergraduate degree (BA/BSc/other),United Kingdom,Female,M,M
145,340,TRUE,TRUE,FALSE,FALSE,TRUE,3,1,3,4,6,8,9,10,12,13,15,£9,£2,48,44,Yes,,2,5,Mostly themselves,No,M1M,SenderFirst,345.184,28,White/Caucasian,Technical/community college,United Kingdom,Female,M,M
147,235,TRUE,TRUE,FALSE,FALSE,TRUE,1,0,0,0,0,0,0,0,0,0,0,£9,£6,0,6,No,Strongly disagree,8,7,Equally themselves and other,No,F1U,ResponderFirst,238.731,29,Middle Eastern,Undergraduate degree (BA/BSc/other),Poland,Female,U,F
389,828,TRUE,TRUE,FALSE,FALSE,TRUE,3,0,0,1,3,5,8,9,11,13,15,£9,£2,50,48,No,Neither agree nor disagree,8,9,Equally themselves and other,No,F2U,ResponderFirst,831.349,34,Other (please feel free to let us know your ethnicity via email),Graduate degree (MA/MSc/MPhil/other),United Kingdom,Female,U,F
258,331,TRUE,TRUE,FALSE,FALSE,TRUE,2,1,3,4,6,7,9,10,12,13,15,£9,£2,22,55,Yes,,5,5,Equally themselves and other,No,F1U,SenderFirst,336.306,28,White/Caucasian,High school diploma/A-levels,United Kingdom,Female,U,F
86,347,TRUE,TRUE,FALSE,FALSE,TRUE,2,1,2,3,4,5,6,7,8,9,10,£9,£2,0,8,No,Strongly agree,8,10,Mostly themselves,No,M2M,SenderFirst,351.503,21,White/Caucasian,High school diploma/A-levels,United Kingdom,Female,M,M
348,503,TRUE,TRUE,FALSE,FALSE,TRUE,5,1,3,4,6,6,8,9,10,12,13,£9,£2,57,66,Yes,,7,7,Equally themselves and other,No,F2M,ResponderFirst,510.858,56,White/Caucasian,Graduate degree (MA/MSc/MPhil/other),United Kingdom,Female,M,F
98,549,TRUE,TRUE,FALSE,FALSE,TRUE,2,1,2,3,5,6,8,8,10,10,11,£9,£2,30,50,Yes,,0,0,Mostly themselves,No,M4U,ResponderFirst,555.804,66,White/Caucasian,Undergraduate degree (BA/BSc/other),United Kingdom,Female,U,M
253,307,TRUE,TRUE,FALSE,FALSE,TRUE,5,1,1,2,3,2,3,2,2,4,5,£9,£2,42,65,Yes,,2,2,Equally themselves and other,No,M4M,SenderFirst,311.406,46,White/Caucasian,Secondary education (e.g. GED/GCSE),United Kingdom,Female,M,M
124,471,TRUE,TRUE,FALSE,FALSE,TRUE,1,1,2,3,4,5,6,7,8,9,10,£9,£2,50,51,No,Strongly disagree,0,0,Equally themselves and other,No,F1U,ResponderFirst,475.979,54,White/Caucasian,Undergraduate degree (BA/BSc/other),United Kingdom,Female,U,F
290,478,TRUE,TRUE,FALSE,FALSE,TRUE,0,0,0,0,0,0,0,0,0,0,0,£9,£2,47,48,Yes,,6,7,Only themselves,Yes,F3M,ResponderFirst,486.982,48,White/Caucasian,Secondary education (e.g. GED/GCSE),United Kingdom,Female,M,F
256,421,TRUE,TRUE,FALSE,FALSE,TRUE,5,2,5,5,7,8,12,14,16,18,20,£9,£2,50,27,Yes,,7,10,Mostly themselves,No,M1U,SenderFirst,425.6,35,White/Caucasian,Secondary education (e.g. GED/GCSE),United Kingdom,Female,U,M
368,421,TRUE,TRUE,FALSE,FALSE,TRUE,5,1,1,3,0,5,2,4,8,9,5,£9,£6,54,51,Yes,,4,0,Equally themselves and other,Yes,M1M,ResponderFirst,426.304,37,East Asian,Undergraduate degree (BA/BSc/other),United Kingdom,Female,M,M
331,188,TRUE,TRUE,FALSE,FALSE,TRUE,2,0,2,3,4,5,6,7,8,9,10,£9,£2,53,32,Yes,,6,6,Equally themselves and other,No,F1U,SenderFirst,192.982,26,White/Caucasian,Undergraduate degree (BA/BSc/other),United Kingdom,Female,U,F
294,257,TRUE,TRUE,FALSE,FALSE,TRUE,5,1,2,3,4,5,6,5,8,9,10,£9,£2,99,77,No,Neither agree nor disagree,1,2,Equally themselves and other,No,F2M,ResponderFirst,261.703,40,East Asian,High school diploma/A-levels,United Kingdom,Female,M,F
