ID,Duration (in seconds),Finished,Check1,Check2,Check3,Check4,Sender,Responder3,Responder6,Responder9,Responder12,Responder15,Responder18,Responder21,Responder24,Responder27,Responder30,paired_picture,Comprehension1,Comprehension2,"Based on the information from the previous questions, and recalling that the Sender received £10 at the beginning of the interaction, how much do they earn in total?","Based on the information from the previous questions, and recalling that the Responder received £10 at the beginning of the interaction, how much do they earn in total?",attractiveness,trustworthy,vaccine,vaccine attitude,To.what.extent.do.you.think.wearing.a.mask.prevents.you.from.CATCHING.Covid.19....1,To.what.extent.do.you.think.wearing.a.mask.prevents.you.from.SPREADING.Covid.19....1,protection,behaviour,proportionofmask,party,Other party,Did.you.have.any.difficulty.understanding.any.part.of.this.task.,Picture,Picturelabel,Order,Sex
17,325,TRUE,TRUE,FALSE,FALSE,TRUE,3,1,3,4,6,8,8,8,11,12,15,IM_8oCSI7ypkM0TWhU,£9,£2,£9  (Initial £10 minus £3 sent plus £2 received from Responder),£17  (Initial £10 plus £9 received from Sender minus £2 returned),16,49,Yes,,5,8,Only themselves,Less frequently,2 out of 10,Conservative Party,,No,https://wbs.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_8oCSI7ypkM0TWhU,F2U,SenderFirst,Female
389,395,TRUE,TRUE,FALSE,FALSE,TRUE,5,3,2,6,6,8,10,10,12,14,16,IM_6l3zv93vhdkKMXc,£9,£2,£9  (Initial £10 minus £3 sent plus £2 received from Responder),£11  (Initial £10 plus £3 received from Sender minus £2 returned),52,77,Yes,,5,7,Equally themselves and other,Less frequently,5 out of 10,Conservative Party,,Yes,https://wbs.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_6l3zv93vhdkKMXc,F4M,ResponderFirst,Male
128,502,TRUE,TRUE,FALSE,FALSE,TRUE,1,1,2,3,4,5,6,7,8,9,10,IM_0oZ7Ttwi4WedGh8,£9,£2,£9  (Initial £10 minus £3 sent plus £2 received from Responder),£11  (Initial £10 plus £3 received from Sender minus £2 returned),52,48,No,Strongly disagree,1,1,Mostly themselves,Much less frequently,3 out of 10,Conservative Party,,No,https://wbs.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_0oZ7Ttwi4WedGh8,F4U,ResponderFirst,Female
221,548,TRUE,TRUE,FALSE,FALSE,TRUE,5,1,2,3,4,5,6,7,8,9,10,IM_9EIPomYaFXa0SvI,£9,£2,£9  (Initial £10 minus £3 sent plus £2 received from Responder),£17  (Initial £10 plus £9 received from Sender minus £2 returned),0,48,Yes,,5,5,Mostly themselves,Much less frequently,3 out of 10,Did not vote,,No,https://wbs.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_9EIPomYaFXa0SvI,F3U,ResponderFirst,Female
243,415,TRUE,TRUE,FALSE,FALSE,TRUE,1,2,3,5,6,8,9,11,12,14,15,IM_4ZqjR4g0Rn03oCG,£9,£2,£9  (Initial £10 minus £3 sent plus £2 received from Responder),£17  (Initial £10 plus £9 received from Sender minus £2 returned),49,50,Yes,,7,7,Equally themselves and other,As frequently,6 out of 10,Prefer not to say,,No,https://wbs.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_4ZqjR4g0Rn03oCG,F3M,SenderFirst,Female
55,378,TRUE,TRUE,FALSE,FALSE,TRUE,3,1,2,3,6,0,6,10,9,10,12,IM_aiaD9dT9bIBrq9U,£9,£6,£13  (Initial £10 minus £3 sent plus £6 received from Responder),£16  (Initial £10 plus £8 received from Sender minus £2 returned),40,34,Yes,,5,6,Mostly themselves,Much less frequently,1 out of 10,Labour Party,,Yes,https://wbs.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_aiaD9dT9bIBrq9U,F1U,SenderFirst,Male
280,841,TRUE,TRUE,FALSE,FALSE,TRUE,1,1,3,3,6,7,9,10,12,13,15,IM_aiaD9dT9bIBrq9U,£9,£2,£9  (Initial £10 minus £3 sent plus £2 received from Responder),£16  (Initial £10 plus £8 received from Sender minus £2 returned),46,25,Yes,,5,5,Mostly themselves,Less frequently,2 out of 10,Did not vote,,No,https://wbs.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_aiaD9dT9bIBrq9U,F1U,ResponderFirst,Female
391,530,TRUE,TRUE,FALSE,FALSE,TRUE,10,2,3,5,6,8,9,12,12,14,15,IM_9EIPomYaFXa0SvI,£9,£2,£9  (Initial £10 minus £3 sent plus £2 received from Responder),£17  (Initial £10 plus £9 received from Sender minus £2 returned),64,61,Yes,,7,7,Only themselves,Much less frequently,1 out of 10,Liberal Democrats,,No,https://wbs.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_9EIPomYaFXa0SvI,F3U,SenderFirst,Male
315,632,TRUE,TRUE,FALSE,FALSE,TRUE,2,1,3,4,6,7,9,12,12,14,20,IM_9EIPomYaFXa0SvI,£9,£2,£9  (Initial £10 minus £3 sent plus £2 received from Responder),£17  (Initial £10 plus £9 received from Sender minus £2 returned),85,75,Yes,,7,7,Mostly themselves,Much more frequently,7 out of 10,Conservative Party,,No,https://wbs.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_9EIPomYaFXa0SvI,F3U,ResponderFirst,Male
218,285,TRUE,TRUE,FALSE,FALSE,TRUE,10,1,3,4,6,7,9,10,12,13,15,IM_8oCSI7ypkM0TWhU,£9,£2,£9  (Initial £10 minus £3 sent plus £2 received from Responder),£17  (Initial £10 plus £9 received from Sender minus £2 returned),37,49,Yes,,1,9,Equally themselves and other,More frequently,5 out of 10,Labour Party,,No,https://wbs.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_8oCSI7ypkM0TWhU,F2U,ResponderFirst,Female
32,283,TRUE,TRUE,FALSE,FALSE,TRUE,1,1,2,3,4,5,7,8,9,10,12,IM_6l3zv93vhdkKMXc,£9,£2,£22  (Initial £10 minus £3 sent plus £15 received from Responder),£11  (Initial £10 plus £3 received from Sender minus £2 returned),30,73,Yes,,6,8,Equally themselves and other,Much less frequently,2 out of 10,Labour Party,,No,https://wbs.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_6l3zv93vhdkKMXc,F4M,ResponderFirst,Male
139,260,TRUE,TRUE,FALSE,FALSE,TRUE,5,1,3,5,6,9,9,12,12,14,15,IM_4ZqjR4g0Rn03oCG,£9,£2,£9  (Initial £10 minus £3 sent plus £2 received from Responder),£17  (Initial £10 plus £9 received from Sender minus £2 returned),72,48,Yes,,7,7,Equally themselves and other,As frequently,3 out of 10,Did not vote,,No,https://wbs.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_4ZqjR4g0Rn03oCG,F3M,SenderFirst,Female
50,364,TRUE,TRUE,FALSE,FALSE,TRUE,1,1,3,5,6,8,9,11,12,13,15,IM_0oZ7Ttwi4WedGh8,£9,£2,£9  (Initial £10 minus £3 sent plus £2 received from Responder),£17  (Initial £10 plus £9 received from Sender minus £2 returned),39,34,Yes,,3,8,Equally themselves and other,As frequently,2 out of 10,Did not vote,,No,https://wbs.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_0oZ7Ttwi4WedGh8,F4U,ResponderFirst,Female
105,324,TRUE,TRUE,FALSE,FALSE,TRUE,5,1,3,4,6,7,9,9,12,13,15,IM_8oCSI7ypkM0TWhU,£9,£2,£9  (Initial £10 minus £3 sent plus £2 received from Responder),£17  (Initial £10 plus £9 received from Sender minus £2 returned),59,52,Yes,,3,8,Equally themselves and other,As frequently,1 out of 10,Labour Party,,No,https://wbs.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_8oCSI7ypkM0TWhU,F2U,ResponderFirst,Female
87,660,TRUE,TRUE,FALSE,FALSE,TRUE,10,0,0,2,6,7,6,9,12,13,15,IM_4ZqjR4g0Rn03oCG,£9,£2,£9  (Initial £10 minus £3 sent plus £2 received from Responder),£11  (Initial £10 plus £3 received from Sender minus £2 returned),62,64,Yes,,5,7,Mostly themselves,As frequently,9 out of 10,Other Party (Please specify),Green,No,https://wbs.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_4ZqjR4g0Rn03oCG,F3M,SenderFirst,Male
364,724,TRUE,TRUE,FALSE,FALSE,TRUE,2,1,3,4,5,7,7,8,11,13,15,IM_6l3zv93vhdkKMXc,£9,£2,£9  (Initial £10 minus £3 sent plus £2 received from Responder),£17  (Initial £10 plus £9 received from Sender minus £2 returned),72,49,Yes,,1,3,Equally themselves and other,Less frequently,5 out of 10,Liberal Democrats,,No,https://wbs.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_6l3zv93vhdkKMXc,F4M,ResponderFirst,Male
262,459,TRUE,TRUE,FALSE,FALSE,TRUE,5,3,6,9,12,15,18,21,24,27,30,IM_4ZqjR4g0Rn03oCG,£9,£2,£9  (Initial £10 minus £3 sent plus £2 received from Responder),£17  (Initial £10 plus £9 received from Sender minus £2 returned),48,50,Yes,,8,8,Equally themselves and other,As frequently,3 out of 10,Did not vote,,No,https://wbs.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_4ZqjR4g0Rn03oCG,F3M,SenderFirst,Female
121,1683,TRUE,TRUE,FALSE,FALSE,TRUE,5,3,6,4,6,7,9,10,12,13,15,IM_9EIPomYaFXa0SvI,£9,£2,£9  (Initial £10 minus £3 sent plus £2 received from Responder),£17  (Initial £10 plus £9 received from Sender minus £2 returned),45,48,Yes,,4,4,Equally themselves and other,As frequently,6 out of 10,Labour Party,,No,https://wbs.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_9EIPomYaFXa0SvI,F3U,SenderFirst,Female
366,652,TRUE,TRUE,FALSE,FALSE,TRUE,3,1,3,4,6,7,9,10,12,13,15,IM_4ZqjR4g0Rn03oCG,£9,£2,£9  (Initial £10 minus £3 sent plus £2 received from Responder),£17  (Initial £10 plus £9 received from Sender minus £2 returned),19,48,Yes,,5,9,Mostly themselves,Less frequently,5 out of 10,Labour Party,,No,https://wbs.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_4ZqjR4g0Rn03oCG,F3M,SenderFirst,Male
25,634,TRUE,TRUE,FALSE,FALSE,TRUE,5,1,2,4,5,7,8,9,10,12,14,IM_2lfkHYDRurE5WOa,£9,£2,£9  (Initial £10 minus £3 sent plus £2 received from Responder),£17  (Initial £10 plus £9 received from Sender minus £2 returned),68,50,Yes,,7,7,Equally themselves and other,Less frequently,5 out of 10,Did not vote,,No,https://wbs.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_2lfkHYDRurE5WOa,F1M,SenderFirst,Female
341,246,TRUE,TRUE,FALSE,FALSE,TRUE,1,2,5,8,8,10,12,14,16,18,20,IM_88qvHaPboaWxCHI,£9,£2,£9  (Initial £10 minus £3 sent plus £2 received from Responder),£11  (Initial £10 plus £3 received from Sender minus £2 returned),37,48,Yes,,8,10,Equally themselves and other,More frequently,7 out of 10,Did not vote,,No,https://wbs.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_88qvHaPboaWxCHI,F2M,ResponderFirst,Male
208,309,TRUE,TRUE,FALSE,FALSE,TRUE,10,0,0,0,0,0,0,0,0,0,0,IM_9EIPomYaFXa0SvI,£9,£2,£9  (Initial £10 minus £3 sent plus £2 received from Responder),£17  (Initial £10 plus £9 received from Sender minus £2 returned),58,28,Yes,,5,7,Only themselves,Less frequently,4 out of 10,Labour Party,,No,https://wbs.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_9EIPomYaFXa0SvI,F3U,SenderFirst,Male
328,450,TRUE,TRUE,FALSE,FALSE,TRUE,3,1,3,4,6,7,9,10,12,13,15,IM_aiaD9dT9bIBrq9U,£9,£2,£9  (Initial £10 minus £3 sent plus £2 received from Responder),£17  (Initial £10 plus £9 received from Sender minus £2 returned),60,50,Yes,,7,7,Equally themselves and other,More frequently,3 out of 10,Prefer not to say,,No,https://wbs.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_aiaD9dT9bIBrq9U,F1U,SenderFirst,Male
253,1596,TRUE,TRUE,FALSE,FALSE,TRUE,10,0,0,1,2,5,6,7,8,9,10,IM_aiaD9dT9bIBrq9U,£9,£2,£9  (Initial £10 minus £3 sent plus £2 received from Responder),£11  (Initial £10 plus £3 received from Sender minus £2 returned),25,14,Yes,,10,10,Mostly themselves,As frequently,3 out of 10,Did not vote,,No,https://wbs.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_aiaD9dT9bIBrq9U,F1U,SenderFirst,Male
164,337,TRUE,TRUE,FALSE,FALSE,TRUE,4,1,2,3,4,5,6,7,8,9,15,IM_4ZqjR4g0Rn03oCG,£9,£2,£9  (Initial £10 minus £3 sent plus £2 received from Responder),£17  (Initial £10 plus £9 received from Sender minus £2 returned),42,64,Yes,,7,7,Mostly themselves,Less frequently,2 out of 10,Labour Party,,No,https://wbs.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_4ZqjR4g0Rn03oCG,F3M,SenderFirst,Female
176,477,TRUE,TRUE,FALSE,FALSE,TRUE,3,0,1,2,3,5,6,10,12,13,15,IM_9EIPomYaFXa0SvI,£9,£2,£9  (Initial £10 minus £3 sent plus £2 received from Responder),£17  (Initial £10 plus £9 received from Sender minus £2 returned),38,13,Yes,,6,6,Equally themselves and other,Much less frequently,3 out of 10,Conservative Party,,No,https://wbs.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_9EIPomYaFXa0SvI,F3U,SenderFirst,Female
69,287,TRUE,TRUE,FALSE,FALSE,TRUE,2,1,3,4,5,7,9,10,12,13,15,IM_aiaD9dT9bIBrq9U,£9,£2,£9  (Initial £10 minus £3 sent plus £2 received from Responder),£11  (Initial £10 plus £3 received from Sender minus £2 returned),33,62,Yes,,7,7,Equally themselves and other,Less frequently,2 out of 10,Did not vote,,No,https://wbs.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_aiaD9dT9bIBrq9U,F1U,ResponderFirst,Female
109,659,TRUE,TRUE,FALSE,FALSE,TRUE,1,1,3,3,5,6,8,10,12,13,15,IM_2lfkHYDRurE5WOa,£3,£2,£9  (Initial £10 minus £3 sent plus £2 received from Responder),£17  (Initial £10 plus £9 received from Sender minus £2 returned),67,65,Yes,,5,6,Equally themselves and other,Much less frequently,4 out of 10,Prefer not to say,,No,https://wbs.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_2lfkHYDRurE5WOa,F1M,ResponderFirst,Female
13,405,TRUE,TRUE,FALSE,FALSE,TRUE,3,1,2,3,4,5,6,7,8,9,10,IM_9EIPomYaFXa0SvI,£9,£2,£9  (Initial £10 minus £3 sent plus £2 received from Responder),£17  (Initial £10 plus £9 received from Sender minus £2 returned),17,21,Yes,,6,7,Equally themselves and other,As frequently,6 out of 10,Conservative Party,,No,https://wbs.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_9EIPomYaFXa0SvI,F3U,ResponderFirst,Female
355,388,TRUE,TRUE,FALSE,FALSE,TRUE,1,2,4,6,8,10,12,14,16,10,10,IM_9EIPomYaFXa0SvI,£9,£2,£9  (Initial £10 minus £3 sent plus £2 received from Responder),£17  (Initial £10 plus £9 received from Sender minus £2 returned),49,49,Yes,,0,7,Mostly others,Much less frequently,5 out of 10,Labour Party,,No,https://wbs.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_9EIPomYaFXa0SvI,F3U,SenderFirst,Male
118,765,TRUE,TRUE,FALSE,FALSE,TRUE,8,0,0,1,3,5,7,9,10,13,15,IM_aiaD9dT9bIBrq9U,£9,£2,£9  (Initial £10 minus £3 sent plus £2 received from Responder),£17  (Initial £10 plus £9 received from Sender minus £2 returned),22,55,Yes,,5,7,Mostly themselves,Less frequently,6 out of 10,Labour Party,,No,https://wbs.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_aiaD9dT9bIBrq9U,F1U,SenderFirst,Female
204,284,TRUE,TRUE,FALSE,FALSE,TRUE,2,0,2,3,4,5,5,6,10,10,12,IM_2lfkHYDRurE5WOa,£9,£2,£9  (Initial £10 minus £3 sent plus £2 received from Responder),£17  (Initial £10 plus £9 received from Sender minus £2 returned),47,54,Yes,,5,7,Mostly themselves,Less frequently,2 out of 10,Labour Party,,No,https://wbs.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_2lfkHYDRurE5WOa,F1M,SenderFirst,Female
142,248,TRUE,TRUE,FALSE,FALSE,TRUE,1,1,3,4,5,6,7,8,9,10,11,IM_88qvHaPboaWxCHI,£9,£2,£9  (Initial £10 minus £3 sent plus £2 received from Responder),£17  (Initial £10 plus £9 received from Sender minus £2 returned),11,28,Yes,,6,8,Mostly others,Less frequently,4 out of 10,Labour Party,,No,https://wbs.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_88qvHaPboaWxCHI,F2M,ResponderFirst,Male
401,526,TRUE,TRUE,FALSE,FALSE,TRUE,10,1,2,3,5,6,7,9,10,11,10,IM_8oCSI7ypkM0TWhU,£9,£2,£9  (Initial £10 minus £3 sent plus £2 received from Responder),£17  (Initial £10 plus £9 received from Sender minus £2 returned),73,60,Yes,,8,8,Equally themselves and other,As frequently,6 out of 10,Scottish National Party,,No,https://wbs.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_8oCSI7ypkM0TWhU,F2U,ResponderFirst,Male
77,727,TRUE,TRUE,FALSE,FALSE,TRUE,10,3,6,9,12,15,18,21,24,27,10,IM_4ZqjR4g0Rn03oCG,£9,£2,£9  (Initial £10 minus £3 sent plus £2 received from Responder),£11  (Initial £10 plus £3 received from Sender minus £2 returned),63,64,Yes,,6,6,Equally themselves and other,Much less frequently,4 out of 10,Other Party (Please specify),green,Yes,https://wbs.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_4ZqjR4g0Rn03oCG,F3M,SenderFirst,Female
279,717,TRUE,TRUE,FALSE,FALSE,TRUE,2,2,4,5,7,8,10,12,15,17,18,IM_6l3zv93vhdkKMXc,£9,£2,£9  (Initial £10 minus £3 sent plus £2 received from Responder),£17  (Initial £10 plus £9 received from Sender minus £2 returned),36,51,Yes,,6,8,Mostly themselves,As frequently,7 out of 10,Did not vote,,No,https://wbs.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_6l3zv93vhdkKMXc,F4M,ResponderFirst,Male
321,461,TRUE,TRUE,FALSE,FALSE,TRUE,10,1,2,3,4,5,6,7,8,9,10,IM_9EIPomYaFXa0SvI,£9,£2,£9  (Initial £10 minus £3 sent plus £2 received from Responder),£17  (Initial £10 plus £9 received from Sender minus £2 returned),52,52,Yes,,8,8,Equally themselves and other,As frequently,3 out of 10,Did not vote,,No,https://wbs.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_9EIPomYaFXa0SvI,F3U,ResponderFirst,Male
94,398,TRUE,TRUE,FALSE,FALSE,TRUE,10,1,3,4,6,8,9,11,12,14,15,IM_88qvHaPboaWxCHI,£9,£2,£9  (Initial £10 minus £3 sent plus £2 received from Responder),£11  (Initial £10 plus £3 received from Sender minus £2 returned),53,72,Yes,,6,7,Equally themselves and other,As frequently,5 out of 10,Labour Party,,No,https://wbs.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_88qvHaPboaWxCHI,F2M,SenderFirst,Female
399,1211,TRUE,TRUE,FALSE,FALSE,TRUE,10,2,5,8,10,13,16,19,21,25,27,IM_4ZqjR4g0Rn03oCG,£9,£2,£9  (Initial £10 minus £3 sent plus £2 received from Responder),£17  (Initial £10 plus £9 received from Sender minus £2 returned),75,72,Yes,,3,9,Mostly others,As frequently,5 out of 10,Liberal Democrats,,No,https://wbs.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_4ZqjR4g0Rn03oCG,F3M,SenderFirst,Male
162,436,TRUE,TRUE,FALSE,FALSE,TRUE,4,2,3,5,7,9,8,10,14,15,15,IM_0oZ7Ttwi4WedGh8,£9,£2,£9  (Initial £10 minus £3 sent plus £2 received from Responder),£11  (Initial £10 plus £3 received from Sender minus £2 returned),37,46,Yes,,7,8,Mostly themselves,Less frequently,4 out of 10,Conservative Party,,No,https://wbs.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_0oZ7Ttwi4WedGh8,F4U,SenderFirst,Male
386,355,TRUE,TRUE,FALSE,FALSE,TRUE,5,0,1,3,4,5,6,7,8,9,10,IM_aiaD9dT9bIBrq9U,£9,£2,£9  (Initial £10 minus £3 sent plus £2 received from Responder),£17  (Initial £10 plus £9 received from Sender minus £2 returned),32,23,Yes,,5,8,Mostly themselves,Much less frequently,1 out of 10,Prefer not to say,,No,https://wbs.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_aiaD9dT9bIBrq9U,F1U,SenderFirst,Male
296,506,TRUE,TRUE,FALSE,FALSE,TRUE,10,1,3,4,6,7,9,10,12,13,15,IM_4ZqjR4g0Rn03oCG,£9,£2,£9  (Initial £10 minus £3 sent plus £2 received from Responder),£11  (Initial £10 plus £3 received from Sender minus £2 returned),51,58,Yes,,8,8,Equally themselves and other,Less frequently,6 out of 10,Did not vote,,No,https://wbs.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_4ZqjR4g0Rn03oCG,F3M,SenderFirst,Male
