"","Response.ID","Consent","Comprehension_1","Comprehension_2","main_task","check_question","attractive_p1","attractive_p2","trustworthy_p1","trustworthy_p2","mask_perception","mask_wearing","PROLIFIC_PID","Amount","Amount.for.other","Picture.Bundle.1","Pic.Label.1","Picture.Bundle.2","Pic.Label.2","session_id","participant_id","status","started_datetime","completed_date_time","time_taken","age","num_approvals","num_rejections","prolific_score","reviewed_at_datetime","entered_code","Country.of.Birth","Current.Country.of.Residence","Employment.Status","Ethnicity","First.Language","Fluent.languages","Highest.education.level.completed","Nationality","Sex","Student.Status"
"195","R_CfU4L6RO9MHozEl",1,2,1,1,"£20",51,50,70,92,"Equally themselves and others","No","595ceea8dd044900012ce64a","£10","£20","https://wbs.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_9EIPomYaFXa0SvI","F3U","https://wbs.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_88qvHaPboaWxCHI","F2M","62c194bacb5992c9f1602c00","595ceea8dd044900012ce64a","APPROVED","2022-07-03 13:08:10.678000","2022-07-03 13:13:58.651000",347.973,46,1458,2,100,"2022-07-04 08:48:08.515000","868E37F5","United Kingdom","United Kingdom","Full-Time","White/Caucasian","DATA EXPIRED","English","Secondary education (e.g. GED/GCSE)","United Kingdom","Female","No"
"183","R_1Kkhutc5c6VNuAu",1,2,1,2,"£20",38,68,80,80,"Equally themselves and others","No","595dd47e2ab2e60001516c99","£20","£10","https://wbs.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_2lfkHYDRurE5WOa","F1M","https://wbs.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_0oZ7Ttwi4WedGh8","F4U","62c194c63a468a1b2e8d2e4f","595dd47e2ab2e60001516c99","APPROVED","2022-07-03 13:08:24.626000","2022-07-03 13:11:37.360000",192.734,57,638,13,97,"2022-07-04 08:48:12.542000","868E37F5","United Kingdom","United Kingdom","Full-Time","White/Caucasian","English","English","Secondary education (e.g. GED/GCSE)","United Kingdom","Female","DATA EXPIRED"
"13","R_43fMThXvB1UBwRP",1,2,1,1,"£10",44,49,61,70,"Mostly others","No","596155a998cf77000106f8d8","£10","£20","https://wbs.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_9EIPomYaFXa0SvI","F3U","https://wbs.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_6l3zv93vhdkKMXc","F4M","62c020fb9ace2bd513ea7cd0","596155a998cf77000106f8d8","APPROVED","2022-07-02 10:42:03.488000","2022-07-02 10:43:26.481000",82.993,44,1993,15,99,"2022-07-04 08:47:51.591000","868E37F5","United Kingdom","United Kingdom","Part-Time","White/Caucasian","English","English, Scots","Undergraduate degree (BA/BSc/other)","United Kingdom","Male","No"
"163","R_3EA9kgMdVdw1Pig",1,2,1,2,"£10",79,75,75,75,"Mostly themselves","No","596e2b2f9fd5ee0001b70667","£20","£10","https://wbs.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_2lfkHYDRurE5WOa","F1M","https://wbs.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_0oZ7Ttwi4WedGh8","F4U","62c194c0890dabae5df10918","596e2b2f9fd5ee0001b70667","APPROVED","2022-07-03 13:08:20.359000","2022-07-03 13:10:51.143000",150.784,46,640,3,100,"2022-07-04 08:48:10.667000","868E37F5","United Kingdom","United Kingdom","Full-Time","White/Caucasian","English","English","Graduate degree (MA/MSc/MPhil/other)","United Kingdom","Female","Yes"
"157","R_1g5yAUXWUjtjUMh",1,2,1,1,"£20",80,60,95,50,"Equally themselves and others","Yes","597519f8262c480001bbaf8b","£20","£10","https://wbs.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_4ZqjR4g0Rn03oCG","F3M","https://wbs.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_0oZ7Ttwi4WedGh8","F4U","62c194c08561f921f387b10c","597519f8262c480001bbaf8b","APPROVED","2022-07-03 13:08:16.225000","2022-07-03 13:10:41.489000",145.264,69,1557,0,100,"2022-07-04 08:48:10.396000","868E37F5","United Kingdom","United Kingdom","Not in paid work (e.g. homemaker', 'retired or disabled)","White/Caucasian","English","English","Undergraduate degree (BA/BSc/other)","United Kingdom","Female","No"
"125","R_1hX64JnQIT4vPWx",1,2,1,1,"£20",50,67,69,70,"Mostly themselves","No","599e858389de5b00011193c5","£10","£20","https://wbs.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_8oCSI7ypkM0TWhU","F2U","https://wbs.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_2lfkHYDRurE5WOa","F1M","62c194acde468f7690c6a09b","599e858389de5b00011193c5","APPROVED","2022-07-03 13:08:05.080000","2022-07-03 13:10:00.899000",115.819,56,1491,6,100,"2022-07-04 08:48:04.184000","868E37F5","United Kingdom","United Kingdom","Full-Time","White/Caucasian","English","English","Technical/community college","United Kingdom","Female","No"
"196","R_25GSFVxTwb85NGX",1,2,1,1,"£20",50,41,62,60,"Equally themselves and others","No","59cb95053306be000195be2e","£20","£10","https://wbs.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_0oZ7Ttwi4WedGh8","F4U","https://wbs.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_2lfkHYDRurE5WOa","F1M","62c194cdb6a954055e2b1938","59cb95053306be000195be2e","APPROVED","2022-07-03 13:08:38.816000","2022-07-03 13:14:48.616000",369.8,29,93,0,100,"2022-07-04 08:48:13.591000","868E37F5","United Kingdom","United Kingdom","Not in paid work (e.g. homemaker', 'retired or disabled)","White/Caucasian","English","English","Technical/community college","United Kingdom","Female","No"
"189","R_3fTPvWwl2FfWewL",1,2,1,1,"£20",27,8,54,17,"Equally themselves and others","No","5a051341ff266c0001d1f915","£20","£10","https://wbs.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_88qvHaPboaWxCHI","F2M","https://wbs.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_0oZ7Ttwi4WedGh8","F4U","62c194c597bc91465f859359","5a051341ff266c0001d1f915","APPROVED","2022-07-03 13:08:21.466000","2022-07-03 13:12:37.760000",256.294,35,1409,8,99,"2022-07-04 08:48:12.379000","868E37F5","United Kingdom","United Kingdom","Not in paid work (e.g. homemaker', 'retired or disabled)","White/Caucasian","English","English","Secondary education (e.g. GED/GCSE)","United Kingdom","Female","No"
"119","R_2qxZmR4soRmONFr",1,2,1,1,"£20",70,49,69,59,"Mostly themselves","No","5a0a057c80acd80001047392","£20","£10","https://wbs.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_6l3zv93vhdkKMXc","F4M","https://wbs.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_9EIPomYaFXa0SvI","F3U","62c194b4258fe1843f23aff4","5a0a057c80acd80001047392","APPROVED","2022-07-03 13:08:09.814000","2022-07-03 13:09:54.405000",104.591,53,581,7,99,"2022-07-04 08:48:06.307000","868E37F5","United Kingdom","United Kingdom","Not in paid work (e.g. homemaker', 'retired or disabled)","White/Caucasian","English","English","Technical/community college","United Kingdom","Female","No"
"114","R_12mYwxy8bbcRI7r",1,2,1,2,"£20",40,50,31,39,"Mostly themselves","No","5a4a93ab35c9d50001fdd082","£10","£20","https://wbs.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_88qvHaPboaWxCHI","F2M","https://wbs.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_9EIPomYaFXa0SvI","F3U","62c194a285db8778f5602bf8","5a4a93ab35c9d50001fdd082","APPROVED","2022-07-03 13:07:46.851000","2022-07-03 13:09:41.149000",114.298,44,1269,8,100,"2022-07-04 08:48:02.713000","868E37F5","United Kingdom","United Kingdom","Full-Time","White/Caucasian","English","English","Undergraduate degree (BA/BSc/other)","United Kingdom","Female","No"
"173","R_21zkkvnqiHLcnVj",1,2,1,2,"£20",50,50,50,50,"Equally themselves and others","No","5a5a7cce76d1c60001ab2dc9","£20","£10","https://wbs.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_88qvHaPboaWxCHI","F2M","https://wbs.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_9EIPomYaFXa0SvI","F3U","62c194c7a970486a9fefeaf4","5a5a7cce76d1c60001ab2dc9","APPROVED","2022-07-03 13:08:36.330000","2022-07-03 13:11:05.821000",149.491,38,660,8,99,"2022-07-04 08:48:12.864000","868E37F5","United Kingdom","United Kingdom","Full-Time","White/Caucasian","English","English","High school diploma/A-levels","United Kingdom","Female","No"
"20","R_1eRAGnpKoW0Uhze",1,2,1,1,"£20",50,49,98,70,"Equally themselves and others","Yes","5a840fcfb093f80001a7cf78","£20","£10","https://wbs.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_2lfkHYDRurE5WOa","F1M","https://wbs.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_8oCSI7ypkM0TWhU","F2U","62c020fab661707d53b76dd5","5a840fcfb093f80001a7cf78","APPROVED","2022-07-02 10:42:02.711000","2022-07-02 10:43:48.219000",105.508,43,1621,36,95,"2022-07-04 08:47:51.212000","868E37F5","United Kingdom","United Kingdom","DATA EXPIRED","White/Caucasian","English","English","Graduate degree (MA/MSc/MPhil/other)","United Kingdom","Male","DATA EXPIRED"
"12","R_2R4vOl4fluxBLe6",1,2,1,2,"£20",33,30,35,41,"Mostly others","Yes","5aa8e2fd873cda00012d1f1b","£20","£10","https://wbs.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_9EIPomYaFXa0SvI","F3U","https://wbs.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_2lfkHYDRurE5WOa","F1M","62c020e1d5b6a480fdf69324","5aa8e2fd873cda00012d1f1b","APPROVED","2022-07-02 10:41:37.259000","2022-07-02 10:43:02.905000",85.646,36,1100,5,100,"2022-07-04 08:47:49.168000","868E37F5","United Kingdom","United Kingdom","Full-Time","White/Caucasian","English","English","Secondary education (e.g. GED/GCSE)","United Kingdom","Male","No"
"111","R_1lt7ntCz2HgDWuU",1,2,1,2,"£20",20,51,12,22,"Mostly themselves","Yes","5afe7c9196a88e0001ff4b9d","£20","£10","https://wbs.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_aiaD9dT9bIBrq9U","F1U","https://wbs.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_6l3zv93vhdkKMXc","F4M","62c194a4061c341b8d8e4263","5afe7c9196a88e0001ff4b9d","APPROVED","2022-07-03 13:07:53.261000","2022-07-03 13:09:37.198000",103.937,28,213,3,99,"2022-07-04 08:48:02.949000","868E37F5","United Kingdom","United Kingdom","Other","White/Caucasian","English","English","Undergraduate degree (BA/BSc/other)","United Kingdom","Female","No"
"167","R_BJ9jqNXdAhgO0YF",1,2,1,2,"£20",75,78,87,82,"Only themselves","No","5b07b3959649530001a3c8c5","£10","£20","https://wbs.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_6l3zv93vhdkKMXc","F4M","https://wbs.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_9EIPomYaFXa0SvI","F3U","62c194bd1b3fac8fbf5e6d00","5b07b3959649530001a3c8c5","APPROVED","2022-07-03 13:08:16.930000","2022-07-03 13:10:56.944000",160.014,55,1037,5,100,"2022-07-04 08:48:09.442000","868E37F5","United Kingdom","United Kingdom","Full-Time","White/Caucasian","English","English","Technical/community college","United Kingdom","Female","No"
"156","R_TvzYcZetiexvxM5",1,2,1,1,"£10",50,50,70,70,"Mostly themselves","No","5b100cb0a3553300017541c8","£10","£20","https://wbs.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_88qvHaPboaWxCHI","F2M","https://wbs.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_9EIPomYaFXa0SvI","F3U","62c194bd58643c6f933af3e3","5b100cb0a3553300017541c8","APPROVED","2022-07-03 13:08:13.969000","2022-07-03 13:10:40.723000",146.754,62,1473,4,100,"2022-07-04 08:48:09.722000","868E37F5","United Kingdom","United Kingdom","Other","White/Caucasian","English","English","Undergraduate degree (BA/BSc/other)","United Kingdom","Female","No"
"72","R_2Bx68RLHgVv0csF",1,2,1,2,"£20",80,80,50,50,"Equally themselves and others","Yes","5b1386089663ee0001461b6e","£20","£10","https://wbs.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_8oCSI7ypkM0TWhU","F2U","https://wbs.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_2lfkHYDRurE5WOa","F1M","62c02113fba31e82a5e0316e","5b1386089663ee0001461b6e","APPROVED","2022-07-02 10:42:27.452000","2022-07-02 10:45:19.233000",171.781,47,1647,7,100,"2022-07-04 08:47:58.677000","868E37F5","United Kingdom","United Kingdom","Full-Time","White/Caucasian","English","English","Undergraduate degree (BA/BSc/other)","United Kingdom","Male","No"
"133","R_3pi5373DB5g0PjJ",1,2,1,2,"£10",70,60,85,71,"Mostly themselves","No","5b1efc25bdf4e1000163af46","£10","£20","https://wbs.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_4ZqjR4g0Rn03oCG","F3M","https://wbs.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_8oCSI7ypkM0TWhU","F2U","62c194ca81ad1b42999ebb71","5b1efc25bdf4e1000163af46","APPROVED","2022-07-03 13:08:26","2022-07-03 13:10:15.230000",109.23,35,1556,9,100,"2022-07-04 08:48:13.242000","868E37F5","United Kingdom","United Kingdom","DATA EXPIRED","White/Caucasian","English","English","Undergraduate degree (BA/BSc/other)","United Kingdom","Female","No"
"181","R_yW28xJNYNxPrnfb",1,2,1,2,"£20",41,50,33,40,"Mostly themselves","No","5b2785058ecf3f0001619d87","£20","£10","https://wbs.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_9EIPomYaFXa0SvI","F3U","https://wbs.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_2lfkHYDRurE5WOa","F1M","62c194c7b6a954055e2b1937","5b2785058ecf3f0001619d87","APPROVED","2022-07-03 13:08:26.472000","2022-07-03 13:11:27.686000",181.214,38,375,5,98,"2022-07-04 08:48:12.699000","868E37F5","Brazil","United Kingdom","DATA EXPIRED","Mixed","Portuguese","Portuguese, English","Undergraduate degree (BA/BSc/other)","Brazil","Female","Yes"
"160","R_126hlpiAhwAkVUt",1,2,1,1,"£20",72,68,52,50,"Mostly themselves","No","5b421b9ac2e3810001763252","£20","£10","https://wbs.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_9EIPomYaFXa0SvI","F3U","https://wbs.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_2lfkHYDRurE5WOa","F1M","62c194b72076de33e383fe85","5b421b9ac2e3810001763252","APPROVED","2022-07-03 13:08:07.190000","2022-07-03 13:10:45.754000",158.564,34,1163,2,100,"2022-07-04 08:48:07.100000","868E37F5","United Kingdom","United Kingdom","Part-Time","Mixed","English","English","Undergraduate degree (BA/BSc/other)","United Kingdom","Female","No"
"61","R_3M3uhfXVAXapax0",1,2,1,2,"£10",80,1,70,4,"Mostly themselves","No","5badf72e733441000102a34d","£10","£20","https://wbs.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_8oCSI7ypkM0TWhU","F2U","https://wbs.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_6l3zv93vhdkKMXc","F4M","62c02104ce0c5e60a8ba13a1","5badf72e733441000102a34d","APPROVED","2022-07-02 10:42:12.990000","2022-07-02 10:44:53.529000",160.539,64,678,10,96,"2022-07-04 08:47:54.661000","868E37F5","United Kingdom","United Kingdom","Not in paid work (e.g. homemaker', 'retired or disabled)","White/Caucasian","English","English","High school diploma/A-levels","United Kingdom","Male","No"
"199","R_1DtZpvG9p0j1LJg",1,2,1,1,"£10",50,25,50,73,"Mostly themselves","Yes","5bb20c4ce05c350001ef337e","£10","£20","https://wbs.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_0oZ7Ttwi4WedGh8","F4U","https://wbs.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_88qvHaPboaWxCHI","F2M","62c194ce134501062bd9c69d","5bb20c4ce05c350001ef337e","APPROVED","2022-07-03 13:08:30.839000","2022-07-03 13:16:41.675000",490.836,67,723,3,100,"2022-07-04 08:48:14.030000","868E37F5","United Kingdom","United Kingdom","Not in paid work (e.g. homemaker', 'retired or disabled)","White/Caucasian","Welsh","English","High school diploma/A-levels","United Kingdom","Female","No"
"33","R_Q3vWLCsv2j9Cw49",1,2,1,1,"£10",40,51,36,69,"Equally themselves and others","Yes","5bc08c345e8a950001892156","£10","£20","https://wbs.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_9EIPomYaFXa0SvI","F3U","https://wbs.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_6l3zv93vhdkKMXc","F4M","62c0210faf2163b89afd0483","5bc08c345e8a950001892156","APPROVED","2022-07-02 10:42:36.758000","2022-07-02 10:44:11.121000",94.363,54,1440,0,100,"2022-07-04 08:47:57.417000","868E37F5","United Kingdom","United Kingdom","Not in paid work (e.g. homemaker', 'retired or disabled)","White/Caucasian","English","English","High school diploma/A-levels","United Kingdom","Male","No"
"69","R_sRLnGdvBpwliNWN",1,2,1,1,"£10",75,75,40,55,"Mostly themselves","No","5bc73b9f821054000181a853","£10","£20","https://wbs.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_2lfkHYDRurE5WOa","F1M","https://wbs.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_0oZ7Ttwi4WedGh8","F4U","62c021018964d5f539c7ace9","5bc73b9f821054000181a853","APPROVED","2022-07-02 10:42:09.828000","2022-07-02 10:45:12.198000",182.37,53,1336,4,100,"2022-07-04 08:47:53.315000","868E37F5","United Kingdom","United Kingdom","Full-Time","White/Caucasian","English","English","Technical/community college","United Kingdom","Male","No"
"95","R_UcDUrEcNwF0ZgnT",1,2,1,2,"£10",50,36,70,50,"Equally themselves and others","Yes","5bfac580f500bd0001e5dee5","£10","£20","https://wbs.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_6l3zv93vhdkKMXc","F4M","https://wbs.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_aiaD9dT9bIBrq9U","F1U","62c0211c350e66bb42ea7cbf","5bfac580f500bd0001e5dee5","APPROVED","2022-07-02 10:42:36.553000","2022-07-02 10:46:40.241000",243.688,41,319,3,100,"2022-07-04 08:48:01.005000","868E37F5","United Kingdom","United Kingdom","Not in paid work (e.g. homemaker', 'retired or disabled)","White/Caucasian","English","English","Technical/community college","United Kingdom","Male","No"
